,starttime,Average_Group_HOD_Factor,Criteria,day_of_status
3,03:00:00,0.004019576241974226,Average_stv_rec_ratio<=0.75,weekend
4,04:00:00,0.0037639591985740486,Average_stv_rec_ratio<=0.75,weekend
5,05:00:00,0.005399949779358571,Average_stv_rec_ratio<=0.75,weekend
6,06:00:00,0.011420148689048027,Average_stv_rec_ratio<=0.75,weekend
7,07:00:00,0.023701311491763504,Average_stv_rec_ratio<=0.75,weekend
8,08:00:00,0.04241822697906429,Average_stv_rec_ratio<=0.75,weekend
9,09:00:00,0.05960765624755499,Average_stv_rec_ratio<=0.75,weekend
10,10:00:00,0.0763161675563961,Average_stv_rec_ratio<=0.75,weekend
11,11:00:00,0.08581489090669055,Average_stv_rec_ratio<=0.75,weekend
12,12:00:00,0.08968493889697307,Average_stv_rec_ratio<=0.75,weekend
13,13:00:00,0.08944097748848528,Average_stv_rec_ratio<=0.75,weekend
14,14:00:00,0.08746582661303676,Average_stv_rec_ratio<=0.75,weekend
15,15:00:00,0.08653874873367387,Average_stv_rec_ratio<=0.75,weekend
16,16:00:00,0.08025306929618067,Average_stv_rec_ratio<=0.75,weekend
17,17:00:00,0.06715316213558925,Average_stv_rec_ratio<=0.75,weekend
18,18:00:00,0.05350016240121379,Average_stv_rec_ratio<=0.75,weekend
19,19:00:00,0.036751532863181224,Average_stv_rec_ratio<=0.75,weekend
20,20:00:00,0.024591715659543423,Average_stv_rec_ratio<=0.75,weekend
21,21:00:00,0.018742407060412525,Average_stv_rec_ratio<=0.75,weekend
22,22:00:00,0.015777913521805655,Average_stv_rec_ratio<=0.75,weekend
23,23:00:00,0.012085145165098357,Average_stv_rec_ratio<=0.75,weekend
0,00:00:00,0.004161286693822531,Average_stv_rec_ratio>0.75,weekend
1,01:00:00,0.0031174482824915047,Average_stv_rec_ratio>0.75,weekend
2,02:00:00,0.0025048738591904084,Average_stv_rec_ratio>0.75,weekend
3,03:00:00,0.0017707380037613844,Average_stv_rec_ratio>0.75,weekend
4,04:00:00,0.00248416290768806,Average_stv_rec_ratio>0.75,weekend
5,05:00:00,0.004398165683066998,Average_stv_rec_ratio>0.75,weekend
6,06:00:00,0.01323746493403554,Average_stv_rec_ratio>0.75,weekend
7,07:00:00,0.03761694798788648,Average_stv_rec_ratio>0.75,weekend
8,08:00:00,0.07120995497688874,Average_stv_rec_ratio>0.75,weekend
9,09:00:00,0.09155319776084499,Average_stv_rec_ratio>0.75,weekend
10,10:00:00,0.10323454815961043,Average_stv_rec_ratio>0.75,weekend
11,11:00:00,0.10975928360022466,Average_stv_rec_ratio>0.75,weekend
12,12:00:00,0.10188632047862801,Average_stv_rec_ratio>0.75,weekend
13,13:00:00,0.09152236200366938,Average_stv_rec_ratio>0.75,weekend
14,14:00:00,0.08344719845335388,Average_stv_rec_ratio>0.75,weekend
15,15:00:00,0.07776438509393364,Average_stv_rec_ratio>0.75,weekend
16,16:00:00,0.06676965034167553,Average_stv_rec_ratio>0.75,weekend
17,17:00:00,0.0491470664465293,Average_stv_rec_ratio>0.75,weekend
18,18:00:00,0.033610624135154366,Average_stv_rec_ratio>0.75,weekend
19,19:00:00,0.020503610599952003,Average_stv_rec_ratio>0.75,weekend
20,20:00:00,0.011671595915988202,Average_stv_rec_ratio>0.75,weekend
21,21:00:00,0.00764093878463524,Average_stv_rec_ratio>0.75,weekend
22,22:00:00,0.006104002120800731,Average_stv_rec_ratio>0.75,weekend
23,23:00:00,0.004884172776166893,Average_stv_rec_ratio>0.75,weekend
